👊 😭🏃👄|ضربني وبكى، سبقني واشتكى
👋💦👋🔥|من يده في الماء ليس كالذي يده في النار
🐒👀👩|القرد في عين أمه غزال
💤👑|النوم سلطان
✈🐦👆✈👇|الوقت كالسيف، إن لم تقطعه قطعك
📖💡👽🌊|العلم نور والجهل ظلام
👄🐎✋👍😝👎|لسانك حصانك، إن صنته صانك وإن خنته خانك
👋1⃣👏|يد واحدة لا تصفق
🐧✊🐧🐧🐧🐧🌴|عصفور في اليد خير من عشرة على الشجرة
🤝👬|الصاحب ساحب
🌟💪|العزم يصنع المعجزات
🦁👑|القوة في الشجاعة
🍎📚|التعليم مفتاح النجاح
🌊🛶|من جد وجد
🔥💨|الصبر مفتاح الفرج
🎯🏆|التركيز يحقق الهدف
🕊️✌️|السلام من شيم الكرام
🌳🌱|من زرع حصد
💎✨|القيمة في الجوهر لا في المظهر
🗝️🚪|الفرص تأتي لمن يبحث عنها
